date;names
03.06.2024;Кирилл, Константин, Михаил, Федор, Ярослав, Елена
04.06.2024;Владимир, Даниил, Захар, Иван, Макар, Михаил, Павел, Фаддей, Федор, Яков, Софья
05.06.2024;Адриан, Александр, Алексей, Андрей, Афанасий, Борис, Василий, Геннадий, Даниил, Дмитрий, Иван, Игнатий, Константин, Леонтий, Михаил, Никита, Петр, Роман, Севастьян, Федор, Евдокия, Мария
06.06.2024;Григорий, Иван, Никита, Семен, Степан, Федор, Ксения
07.06.2024;Иван, Иннокентий, Федор, Виктория, Елена
08.06.2024;Александр, Георгий, Давид, Иван, Карп, Макар, Юрий, Елена
09.06.2024;Иван, Леонид, Леонтий, Петр, Анастасия
10.06.2024;Василий, Дмитрий, Захар, Игнатий, Ираклий, Макар, Никита, Николай, Павел, Петр, Елена
11.06.2024;Александр, Андрей, Богдан, Иван, Федот, Мария, Фаина
12.06.2024;Василий, Исаакий, Никанор
13.06.2024;Борис, Николай, Роман, Филипп, Кристина
14.06.2024;Василий, Гавриил, Давид, Денис, Иван, Павел, Вера, Виктория, Харита
15.06.2024;Дмитрий, Иван, Константин, Мария, Ульяна
16.06.2024;Афанасий, Денис, Дмитрий, Лукьян, Михаил, Павел, Юлиан
17.06.2024;Иван, Митрофан, Назар, Петр, Ростислав, Мария, Марфа, Софья
18.06.2024;Гавриил, Георгий, Гордей, Дмитрий, Игорь, Константин, Леонид, Марк, Михаил, Николай, Петр, Федор
19.06.2024;Виссарион, Георгий, Иларион, Рафаил, Сусанна, Фекла
20.06.2024;Александр, Афанасий, Богдан, Борис, Валентин, Василий, Вениамин, Виктор, Владимир, Григорий, Давид, Иван, Игнатий, Лев, Максим, Михаил, Николай, Павел, Петр, Степан, Тарас, Федор, Федот, Анна, Валерия, Зинаида, Калерия, Мария
21.06.2024;Василий, Ефрем, Константин, Павел, Федор
22.06.2024;Александр, Алексей, Иван, Кирилл, Рафаил, Марианна, Мария, Марфа, Фекла
23.06.2024;Александр, Алексей, Андрей, Василий, Герасим, Иван, Игнатий, Илья, Иннокентий, Кузьма, Макар, Николай, Павел, Семен, Тимофей, Анна, Антонина
24.06.2024;Ефрем, Мария
25.06.2024;Андрей, Арсений, Иван, Петр, Степан, Тимофей, Юлиан, Анна, Мария
26.06.2024;Александр, Алексей, Андрей, Даниил, Дмитрий, Иван, Акулина, Александра, Анна, Антонина, Пелагея
27.06.2024;Александр, Владимир, Георгий, Иосиф, Николай, Павел
28.06.2024;Григорий, Ефрем, Михаил, Модест, Семен, Федор, Кира
29.06.2024;Ефрем, Константин, Михаил, Моисей, Петр, Тихон
30.06.2024;Иосиф, Исаакий, Кирилл, Климент, Максим, Никита, Савелий, Пелагея
01.07.2024;Александр, Василий, Виктор, Леонтий, Никанор, Сергей
02.07.2024;Иван, Фаддей
03.07.2024;Андрей, Афанасий, Глеб, Дмитрий, Иван, Наум, Николай, Инна, Римма
04.07.2024;Алексей, Георгий, Иван, Максим, Никита, Николай, Павел, Терентий, Федор, Юлиан, Анастасия, Василиса
05.07.2024;Василий, Гавриил, Галактион, Геннадий, Григорий, Федор, Ульяна
06.07.2024;Александр, Алексей, Антон, Артемий, Герман, Иосиф, Корнилий, Митрофан, Петр, Святослав, Федор
07.07.2024;Антон, Иван, Никита, Яков
08.07.2024;Василий, Давид, Денис, Константин, Петр, Семен, Федор
09.07.2024;Георгий, Давид, Денис, Иван, Павел, Тихон
10.07.2024;Александр, Владимир, Георгий, Иван, Мартин, Петр, Самсон
11.07.2024;Василий, Герман, Григорий, Иван, Иосиф, Павел, Сергей
12.07.2024;Григорий, Павел, Петр
13.07.2024;Андрей, Григорий, Иван, Матвей, Михаил, Петр, Степан, Тимофей, Фаддей, Филипп, Яков, Дина
14.07.2024;Алексей, Аркадий, Василий, Иван, Константин, Кузьма, Лев, Павел, Петр, Тихон, Ангелина
15.07.2024;Арсений
16.07.2024;Александр, Анатолий, Антон, Василий, Георгий, Герасим, Иван, Константин, Марк, Михаил, Филипп
17.07.2024;Алексей, Андрей, Богдан, Георгий, Дмитрий, Ефим, Марк, Михаил, Николай, Федор, Федот, Александра, Анастасия, Мария, Марфа, Ольга, Татьяна
18.07.2024;Афанасий, Василий, Геннадий, Сергей, Степан, Агния, Анна, Варвара, Елизавета
19.07.2024;Александр, Анатолий, Андрей, Антон, Архип, Валентин, Василий, Виктор, Ефим, Иннокентий, Лукьян, Федор, Марфа, Ульяна
20.07.2024;Герман, Лукьян, Павел, Сергей, Евдокия
21.07.2024;Александр, Дмитрий, Николай, Федор
22.07.2024;Александр, Андрей, Иван, Кирилл, Константин, Михаил, Федор
23.07.2024;Александр, Антон, Георгий, Даниил, Леонтий, Петр
24.07.2024;Аркадий, Лев, Елена, Ольга
25.07.2024;Арсений, Гавриил, Иван, Михаил, Федор, Вероника, Мария
26.07.2024;Антон, Гавриил, Степан, Юлиан
27.07.2024;Иван, Ираклий, Константин, Николай, Петр, Степан, Федор
28.07.2024;Василий, Владимир, Петр
29.07.2024;Иван, Павел, Петр, Федор, Яков, Алевтина, Валентина, Юлия
30.07.2024;Леонид, Вероника, Маргарита, Марина
31.07.2024;Афанасий, Емельян, Иван, Кузьма, Леонтий, Мирон, Степан
01.08.2024;Григорий, Дмитрий, Митрофан, Роман, Степан, Тихон, Евгения
02.08.2024;Александр, Алексей, Афанасий, Георгий, Ефим, Иван, Илья, Константин, Кузьма, Леонтий, Николай, Петр, Сергей, Тихон, Федор
03.08.2024;Георгий, Евгений, Иван, Петр, Семен, Федор, Анна
04.08.2024;Алексей, Корнилий, Михаил, Мария
